ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
1-102-17-2-20082023-1-24,Barkhan,Balochistan,Sorghum,Cotton,0.9987,0.0121,True
1-102-17-2-21082023-1-284,Barkhan,Balochistan,Maize,Cotton,0.9987,0.0115,True
1-102-17-2-21082023-1-368,Barkhan,Balochistan,Sesame (Til),Sorghum,0.9997,0.003,True
1-102-17-2-22082023-1-395,Barkhan,Balochistan,Sorghum,Cotton,0.9994,0.0054,True
1-102-17-2-22082023-1-413,Barkhan,Balochistan,Sorghum,Cotton,0.9991,0.0081,True
1-102-17-2-22082023-1-451,Barkhan,Balochistan,Sorghum,Maize,0.9947,0.039,True
1-102-17-2-22082023-1-463,Barkhan,Balochistan,Sorghum,Maize,0.9994,0.006,True
1-102-17-2-22082023-1-464,Barkhan,Balochistan,Sorghum,Maize,0.9928,0.0442,True
1-102-4-2-20082023-1-17,Barkhan,Balochistan,Sorghum,Cotton,0.9988,0.0107,True
1-102-4-2-21082023-1-252,Barkhan,Balochistan,Cotton,Sesame (Til),0.9969,0.0233,True
1-102-4-2-21082023-1-283,Barkhan,Balochistan,Sugarcane,Cotton,0.9947,0.0353,True
1-102-4-2-22082023-1-325,Barkhan,Balochistan,Sorghum,Cotton,0.9992,0.0074,True
1-102-4-2-22082023-1-351,Barkhan,Balochistan,Cotton,Maize,0.9925,0.0506,True
1-102-4-2-22082023-1-380,Barkhan,Balochistan,Sorghum,Cotton,0.9943,0.041,True
1-102-4-2-22082023-1-410,Barkhan,Balochistan,Cotton,Maize,0.9968,0.0238,True
1-107-1-2-23082023-1-655,Jaffarabad,Balochistan,Jantar,Rice,0.9996,0.004,True
1-107-1-2-23082023-1-880,Jaffarabad,Balochistan,Jantar,Rice,0.9971,0.0225,True
1-107-1-2-24082023-1-1075,Jaffarabad,Balochistan,Jantar,Rice,0.9994,0.0061,True
1-107-1-2-24082023-1-1112,Jaffarabad,Balochistan,Jantar,Rice,0.9999,0.0011,True
1-107-1-2-24082023-1-1167,Jaffarabad,Balochistan,Rice,Sorghum,0.9936,0.0437,True
1-107-1-2-24082023-1-1190,Jaffarabad,Balochistan,Jantar,Rice,0.9999,0.0008,True
1-107-1-2-24082023-1-1191,Jaffarabad,Balochistan,Jantar,Rice,0.9999,0.0014,True
1-107-1-2-25082023-1-1322,Jaffarabad,Balochistan,Maize,Rice,0.9998,0.002,True
1-107-6-2-25082023-1-1056,Jaffarabad,Balochistan,Maize,Rice,0.9997,0.003,True
1-108-17-2-02092023-1-3784,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9967,0.0243,True
1-108-17-2-02092023-1-3796,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9928,0.0514,True
1-108-17-2-02092023-1-3899,Jhal Magsi,Balochistan,Jantar,Cotton,0.9995,0.005,True
1-108-17-2-02092023-1-3900,Jhal Magsi,Balochistan,Jantar,Cotton,0.9997,0.0029,True
1-108-17-2-03092023-1-4035,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.999,0.0091,True
1-108-17-2-03092023-1-4040,Jhal Magsi,Balochistan,Sorghum,Maize,0.993,0.0434,True
1-108-17-2-03092023-1-4074,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9986,0.0132,True
1-108-17-2-03092023-1-4075,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9978,0.0177,True
1-108-17-2-03092023-1-4112,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9968,0.0257,True
1-108-4-2-02092023-1-3374,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9973,0.0208,True
1-108-4-2-02092023-1-3385,Jhal Magsi,Balochistan,Sesame (Til),Sorghum,0.994,0.0434,True
1-108-4-2-02092023-1-3387,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.996,0.0315,True
1-108-4-2-02092023-1-3391,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9967,0.0256,True
1-108-4-2-02092023-1-3414,Jhal Magsi,Balochistan,Sorghum,Rice,0.9979,0.018,True
1-108-4-2-02092023-1-3469,Jhal Magsi,Balochistan,Jantar,Cotton,0.9988,0.011,True
1-108-4-2-02092023-1-3471,Jhal Magsi,Balochistan,Jantar,Cotton,0.9992,0.008,True
1-108-4-2-03092023-1-3594,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9997,0.0029,True
1-108-4-2-03092023-1-3597,Jhal Magsi,Balochistan,Sesame (Til),Maize,0.9915,0.0539,True
1-108-4-2-03092023-1-3602,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9977,0.018,True
1-108-4-2-03092023-1-3606,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9923,0.054,True
1-108-4-2-03092023-1-3607,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9969,0.0252,True
1-108-4-2-03092023-1-3610,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9979,0.0183,True
1-108-4-2-03092023-1-3636,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9945,0.0396,True
1-108-4-2-03092023-1-3660,Jhal Magsi,Balochistan,Sesame (Til),Cotton,0.9939,0.0427,True
1-112-1-2-02092023-1-3060,Kharan,Balochistan,Sorghum,Cotton,0.9998,0.0022,True
1-112-6-2-03092023-1-2168,Kharan,Balochistan,Cotton,Sorghum,0.9979,0.0168,True
1-112-6-2-03092023-1-2202,Kharan,Balochistan,Maize,Sorghum,0.9946,0.0352,True
1-117-1-2-27082023-1-1464,Lasbela,Balochistan,Cotton,Jantar,0.9984,0.014,True
1-117-1-2-27082023-1-1465,Lasbela,Balochistan,Cotton,Jantar,0.9981,0.0175,True
1-117-1-2-27082023-1-1477,Lasbela,Balochistan,Jantar,Cotton,0.9982,0.0159,True
1-117-1-2-27082023-1-1528,Lasbela,Balochistan,Jantar,Maize,0.9961,0.0307,True
1-117-1-2-27082023-1-1607,Lasbela,Balochistan,Cotton,Jantar,0.996,0.031,True
1-117-1-2-27082023-1-1608,Lasbela,Balochistan,Cotton,Jantar,0.9954,0.0353,True
1-117-1-2-27082023-1-1615,Lasbela,Balochistan,Cotton,Jantar,0.9957,0.0352,True
1-117-1-2-27082023-1-1616,Lasbela,Balochistan,Cotton,Jantar,0.996,0.0327,True
1-117-1-2-27082023-1-1653,Lasbela,Balochistan,Jantar,Cotton,0.9936,0.0497,True
1-117-1-2-28082023-1-1865,Lasbela,Balochistan,Jantar,Cotton,0.993,0.051,True
1-117-1-2-28082023-1-2015,Lasbela,Balochistan,Cotton,Jantar,0.9925,0.052,True
1-117-1-2-29082023-1-2261,Lasbela,Balochistan,Sorghum,Cotton,0.9988,0.0108,True
1-117-6-2-27082023-1-1142,Lasbela,Balochistan,Cotton,Jantar,0.9982,0.0157,True
1-117-6-2-27082023-1-1158,Lasbela,Balochistan,Cotton,Rice,0.9963,0.0273,True
1-117-6-2-27082023-1-1185,Lasbela,Balochistan,Cotton,Jantar,0.9957,0.0332,True
1-117-6-2-27082023-1-1262,Lasbela,Balochistan,Cotton,Jantar,0.9926,0.0554,True
