ID,District,Province
1-102-17-2-20082023-1-100,Barkhan,Balochistan
1-102-17-2-20082023-1-101,Barkhan,Balochistan
1-102-17-2-20082023-1-105,Barkhan,Balochistan
1-102-17-2-20082023-1-106,Barkhan,Balochistan
1-102-17-2-20082023-1-108,Barkhan,Balochistan
1-102-17-2-20082023-1-110,Barkhan,Balochistan
1-102-17-2-20082023-1-116,Barkhan,Balochistan
1-102-17-2-20082023-1-117,Barkhan,Balochistan
1-102-17-2-20082023-1-120,Barkhan,Balochistan
1-102-17-2-20082023-1-128,Barkhan,Balochistan
1-102-17-2-20082023-1-13,Barkhan,Balochistan
1-102-17-2-20082023-1-130,Barkhan,Balochistan
1-102-17-2-20082023-1-137,Barkhan,Balochistan
1-102-17-2-20082023-1-138,Barkhan,Balochistan
1-102-17-2-20082023-1-14,Barkhan,Balochistan
1-102-17-2-20082023-1-141,Barkhan,Balochistan
1-102-17-2-20082023-1-145,Barkhan,Balochistan
1-102-17-2-20082023-1-148,Barkhan,Balochistan
1-102-17-2-20082023-1-15,Barkhan,Balochistan
1-102-17-2-20082023-1-151,Barkhan,Balochistan
1-102-17-2-20082023-1-153,Barkhan,Balochistan
1-102-17-2-20082023-1-154,Barkhan,Balochistan
1-102-17-2-20082023-1-156,Barkhan,Balochistan
1-102-17-2-20082023-1-157,Barkhan,Balochistan
1-102-17-2-20082023-1-16,Barkhan,Balochistan
1-102-17-2-20082023-1-161,Barkhan,Balochistan
1-102-17-2-20082023-1-162,Barkhan,Balochistan
1-102-17-2-20082023-1-164,Barkhan,Balochistan
1-102-17-2-20082023-1-166,Barkhan,Balochistan
1-102-17-2-20082023-1-168,Barkhan,Balochistan
1-102-17-2-20082023-1-17,Barkhan,Balochistan
1-102-17-2-20082023-1-170,Barkhan,Balochistan
1-102-17-2-20082023-1-176,Barkhan,Balochistan
1-102-17-2-20082023-1-178,Barkhan,Balochistan
1-102-17-2-20082023-1-18,Barkhan,Balochistan
1-102-17-2-20082023-1-181,Barkhan,Balochistan
1-102-17-2-20082023-1-185,Barkhan,Balochistan
1-102-17-2-20082023-1-186,Barkhan,Balochistan
1-102-17-2-20082023-1-188,Barkhan,Balochistan
1-102-17-2-20082023-1-189,Barkhan,Balochistan
1-102-17-2-20082023-1-19,Barkhan,Balochistan
1-102-17-2-20082023-1-190,Barkhan,Balochistan
1-102-17-2-20082023-1-192,Barkhan,Balochistan
1-102-17-2-20082023-1-21,Barkhan,Balochistan
1-102-17-2-20082023-1-24,Barkhan,Balochistan
1-102-17-2-20082023-1-28,Barkhan,Balochistan
1-102-17-2-20082023-1-29,Barkhan,Balochistan
1-102-17-2-20082023-1-66,Barkhan,Balochistan
1-102-17-2-20082023-1-70,Barkhan,Balochistan
1-102-17-2-20082023-1-71,Barkhan,Balochistan
1-102-17-2-20082023-1-72,Barkhan,Balochistan
1-102-17-2-20082023-1-74,Barkhan,Balochistan
1-102-17-2-20082023-1-77,Barkhan,Balochistan
1-102-17-2-20082023-1-78,Barkhan,Balochistan
1-102-17-2-20082023-1-8,Barkhan,Balochistan
1-102-17-2-20082023-1-83,Barkhan,Balochistan
1-102-17-2-20082023-1-85,Barkhan,Balochistan
1-102-17-2-20082023-1-88,Barkhan,Balochistan
1-102-17-2-20082023-1-90,Barkhan,Balochistan
1-102-17-2-20082023-1-91,Barkhan,Balochistan
1-102-17-2-20082023-1-98,Barkhan,Balochistan
1-102-17-2-20082023-1-99,Barkhan,Balochistan
1-102-17-2-21082023-1-200,Barkhan,Balochistan
1-102-17-2-21082023-1-202,Barkhan,Balochistan
1-102-17-2-21082023-1-206,Barkhan,Balochistan
1-102-17-2-21082023-1-208,Barkhan,Balochistan
1-102-17-2-21082023-1-212,Barkhan,Balochistan
1-102-17-2-21082023-1-217,Barkhan,Balochistan
