season,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
kharif,1,1,0.7587,0.8683,0.5777,0.8926,0.8976,0.001
kharif,1,2,0.4366,0.9231,0.4774,0.9086,0.9137,0.001
kharif,1,3,0.3769,0.9333,0.4457,0.9168,0.9188,0.001
kharif,1,4,0.3539,0.9375,0.4806,0.9073,0.9126,0.001
kharif,1,5,0.3423,0.939,0.4717,0.9118,0.9154,0.001
kharif,1,6,0.3123,0.9443,0.4787,0.9094,0.9138,0.001
kharif,1,7,0.3012,0.9462,0.4526,0.9139,0.9197,0.001
kharif,1,8,0.2928,0.948,0.43,0.9201,0.9233,0.001
kharif,1,9,0.2729,0.9512,0.4405,0.9155,0.9197,0.001
kharif,1,10,0.2656,0.9525,0.4096,0.925,0.9277,0.001
kharif,1,11,0.2553,0.9541,0.4319,0.9203,0.9227,0.001
kharif,1,12,0.252,0.9553,0.437,0.9225,0.9232,0.001
kharif,1,13,0.2375,0.9579,0.4509,0.9169,0.9201,0.001
kharif,1,14,0.2324,0.9583,0.4142,0.9264,0.9266,0.001
kharif,1,15,0.2307,0.9586,0.4249,0.9231,0.9252,0.001
kharif,1,16,0.2123,0.9622,0.4379,0.9208,0.925,0.001
kharif,1,17,0.2134,0.9622,0.4214,0.9224,0.9255,0.001
kharif,1,18,0.202,0.9638,0.445,0.9189,0.9215,0.0005
kharif,1,19,0.1724,0.9691,0.4274,0.9237,0.9253,0.0005
kharif,1,20,0.1541,0.9728,0.4203,0.926,0.9275,0.0005
kharif,1,21,0.1525,0.9727,0.4259,0.9258,0.9269,0.0005
kharif,1,22,0.1469,0.9737,0.4371,0.924,0.9262,0.0005
kharif,1,23,0.1424,0.9743,0.4427,0.9208,0.9234,0.0005
kharif,1,24,0.1405,0.9748,0.4629,0.9168,0.9194,0.0005
kharif,1,25,0.1372,0.9752,0.444,0.9236,0.925,0.0005
kharif,1,26,0.1346,0.9758,0.4654,0.9176,0.9203,0.00025
kharif,1,27,0.1212,0.9779,0.4429,0.9249,0.9263,0.00025
kharif,1,28,0.1185,0.9784,0.4366,0.9253,0.9264,0.00025
kharif,1,29,0.1149,0.9793,0.4454,0.9241,0.9258,0.00025
kharif,1,30,0.1121,0.9795,0.4587,0.9205,0.9229,0.00025
kharif,2,1,0.7601,0.8667,0.5415,0.8973,0.8981,0.001
kharif,2,2,0.4288,0.9254,0.4835,0.908,0.9079,0.001
kharif,2,3,0.3782,0.933,0.4487,0.9141,0.9145,0.001
kharif,2,4,0.3463,0.9392,0.4334,0.9173,0.9203,0.001
kharif,2,5,0.3312,0.9415,0.4107,0.9227,0.9235,0.001
kharif,2,6,0.3085,0.9453,0.4597,0.9104,0.9153,0.001
kharif,2,7,0.2946,0.9476,0.4452,0.9158,0.918,0.001
kharif,2,8,0.2794,0.9505,0.4092,0.9235,0.9251,0.001
kharif,2,9,0.267,0.9527,0.4286,0.9199,0.9223,0.001
kharif,2,10,0.2587,0.9546,0.4118,0.9234,0.9254,0.001
kharif,2,11,0.247,0.956,0.4433,0.9161,0.9192,0.001
kharif,2,12,0.2309,0.9589,0.4167,0.9233,0.9248,0.001
kharif,2,13,0.2285,0.9599,0.4148,0.923,0.9239,0.001
kharif,2,14,0.2256,0.9596,0.4094,0.924,0.926,0.001
kharif,2,15,0.2171,0.9613,0.4595,0.9136,0.9159,0.001
kharif,2,16,0.2139,0.9616,0.4733,0.9112,0.9147,0.0005
kharif,2,17,0.1783,0.9677,0.4604,0.9149,0.9176,0.0005
kharif,2,18,0.1583,0.972,0.4115,0.9253,0.9272,0.0005
kharif,2,19,0.1513,0.973,0.4393,0.9218,0.923,0.0005
kharif,2,20,0.1492,0.9733,0.4174,0.9236,0.9256,0.0005
kharif,2,21,0.1401,0.9744,0.4263,0.923,0.9257,0.0005
kharif,2,22,0.1385,0.9752,0.4459,0.9196,0.9218,0.0005
kharif,2,23,0.138,0.9754,0.4027,0.928,0.9297,0.0005
kharif,2,24,0.1375,0.975,0.4671,0.9136,0.9172,0.0005
kharif,2,25,0.1333,0.976,0.4278,0.9243,0.9256,0.0005
kharif,2,26,0.1277,0.9768,0.4552,0.9205,0.9204,0.0005
kharif,2,27,0.1261,0.9771,0.4602,0.9175,0.919,0.0005
kharif,2,28,0.1218,0.978,0.4385,0.9224,0.9238,0.0005
kharif,2,29,0.1176,0.9785,0.447,0.9201,0.9216,0.0005
kharif,2,30,0.1172,0.9786,0.4589,0.9198,0.9213,0.0005
kharif,2,31,0.1173,0.9784,0.4492,0.9208,0.9229,0.00025
kharif,2,32,0.1026,0.9813,0.4489,0.9208,0.9224,0.00025
kharif,2,33,0.0974,0.9821,0.4365,0.9249,0.9259,0.00025
kharif,2,34,0.0955,0.9823,0.4417,0.9248,0.9253,0.00025
kharif,2,35,0.0954,0.9825,0.4407,0.9227,0.9247,0.00025
kharif,2,36,0.094,0.9825,0.4499,0.9228,0.9243,0.00025
kharif,2,37,0.0933,0.9829,0.4427,0.9243,0.9254,0.00025
kharif,2,38,0.0889,0.9836,0.4519,0.9229,0.9238,0.00025
kharif,2,39,0.0871,0.9839,0.4602,0.9223,0.9229,0.000125
kharif,2,40,0.0858,0.9839,0.4557,0.923,0.924,0.000125
kharif,2,41,0.0841,0.9844,0.4548,0.9233,0.924,0.000125
kharif,2,42,0.0825,0.9846,0.4457,0.9245,0.9253,0.000125
kharif,2,43,0.0825,0.9845,0.4558,0.9229,0.9236,0.000125
kharif,3,1,0.7483,0.8704,0.5003,0.9074,0.9056,0.001
kharif,3,2,0.4294,0.9235,0.4661,0.9146,0.9144,0.001
kharif,3,3,0.3878,0.9305,0.4668,0.9114,0.9144,0.001
kharif,3,4,0.3533,0.9374,0.451,0.919,0.9188,0.001
kharif,3,5,0.3372,0.9392,0.3888,0.9305,0.9292,0.001
kharif,3,6,0.31,0.9452,0.391,0.9292,0.9285,0.001
kharif,3,7,0.2981,0.9478,0.4274,0.9229,0.9239,0.001
kharif,3,8,0.283,0.9494,0.4531,0.9178,0.9214,0.001
kharif,3,9,0.2708,0.9518,0.4115,0.9253,0.9259,0.001
kharif,3,10,0.2577,0.9534,0.3891,0.9298,0.9309,0.001
kharif,3,11,0.2505,0.9553,0.4221,0.9222,0.924,0.001
kharif,3,12,0.2439,0.9558,0.4415,0.9182,0.9222,0.001
kharif,3,13,0.2262,0.9596,0.4437,0.9207,0.9227,0.0005
