season,shift_months,scheme,n_test,n_splits,accuracy,macro_f1,coverage,coverage_std,macro_coverage,worst_district,avg_set_size,singleton_%,violations_%
kharif,-2,marginal,8515,25,0.8896,0.5602,0.9519,0.0392,0.9032,0.6294,3.573,22.0,8.0
kharif,-2,region-robust,8515,25,0.8896,0.5602,0.9822,0.007,0.9172,0.9206,3.985,12.4,0.0
kharif,-2,class-region-robust,8515,25,0.8896,0.5602,0.9856,0.0052,0.9385,0.8949,4.327,2.6,0.0
kharif,-1,marginal,8515,25,0.9329,0.7224,0.9237,0.0625,0.908,0.5421,2.855,28.5,24.0
kharif,-1,region-robust,8515,25,0.9329,0.7224,0.9745,0.0208,0.9338,0.8277,3.345,17.1,0.0
kharif,-1,class-region-robust,8515,25,0.9329,0.7224,0.9842,0.0094,0.9532,0.7357,3.684,5.5,0.0
kharif,0,marginal,8515,25,0.9446,0.7765,0.8926,0.0712,0.897,0.4879,2.653,23.6,40.0
kharif,0,region-robust,8515,25,0.9446,0.7765,0.9553,0.0434,0.932,0.6929,3.17,14.9,8.0
kharif,0,class-region-robust,8515,25,0.9446,0.7765,0.9702,0.0206,0.9439,0.5714,3.495,6.0,0.0
kharif,1,marginal,8515,25,0.9306,0.701,0.9039,0.0727,0.9291,0.4094,3.0,18.8,36.0
kharif,1,region-robust,8515,25,0.9306,0.701,0.9637,0.0366,0.9527,0.6667,3.479,12.5,4.0
kharif,1,class-region-robust,8515,25,0.9306,0.701,0.9789,0.0163,0.9587,0.8201,3.847,4.7,0.0
kharif,2,marginal,8515,25,0.8575,0.5644,0.9713,0.0164,0.9539,0.8544,4.105,9.2,0.0
kharif,2,region-robust,8515,25,0.8575,0.5644,0.9857,0.0047,0.9587,0.9457,4.44,4.3,0.0
kharif,2,class-region-robust,8515,25,0.8575,0.5644,0.9882,0.0052,0.9652,0.9229,4.833,1.5,0.0
