season,shift_months,scheme,n_test,n_splits,accuracy,macro_f1,coverage,coverage_std,macro_coverage,worst_district,avg_set_size,singleton_%,violations_%
rabi,-2,marginal,3390,25,0.7177,0.4302,0.8651,0.0727,0.7917,0.5106,3.456,4.5,64.0
rabi,-2,region-robust,3390,25,0.7177,0.4302,0.8811,0.064,0.8276,0.5229,3.625,1.7,64.0
rabi,-2,class-region-robust,3390,25,0.7177,0.4302,0.8913,0.0621,0.8569,0.5335,3.97,0.0,48.0
rabi,-1,marginal,3390,25,0.8313,0.6544,0.9663,0.0189,0.9293,0.8838,2.812,8.4,0.0
rabi,-1,region-robust,3390,25,0.8313,0.6544,0.976,0.0127,0.9559,0.9102,3.109,3.8,0.0
rabi,-1,class-region-robust,3390,25,0.8313,0.6544,0.9738,0.0121,0.961,0.9102,3.536,0.7,0.0
rabi,0,marginal,3390,25,0.9401,0.8373,0.8427,0.1077,0.7684,0.4736,1.857,24.9,60.0
rabi,0,region-robust,3390,25,0.9401,0.8373,0.8991,0.0762,0.8491,0.5687,2.289,16.8,36.0
rabi,0,class-region-robust,3390,25,0.9401,0.8373,0.8736,0.091,0.8935,0.5528,2.847,7.3,36.0
rabi,1,marginal,3390,25,0.8537,0.7009,0.9341,0.0444,0.8848,0.7608,2.557,16.0,8.0
rabi,1,region-robust,3390,25,0.8537,0.7009,0.9604,0.0282,0.9284,0.8499,2.907,9.1,0.0
rabi,1,class-region-robust,3390,25,0.8537,0.7009,0.9287,0.0264,0.9557,0.8195,3.483,2.6,4.0
rabi,2,marginal,3390,25,0.5944,0.4898,0.8584,0.0549,0.8525,0.6444,3.091,8.0,64.0
rabi,2,region-robust,3390,25,0.5944,0.4898,0.8772,0.0523,0.8813,0.6655,3.321,5.2,56.0
rabi,2,class-region-robust,3390,25,0.5944,0.4898,0.8567,0.0438,0.8904,0.662,3.829,1.8,64.0
