season,province,scheme,n_eval,n_cal,n_districts_eval,n_crops_scored,n_crops_total,coverage,macro_coverage,worst_crop,worst_crop_name,worst_crop_n,worst_district,n_districts_scored,avg_set_size,singleton_%,violates
rabi,Balochistan,marginal,7528,15392,10,3,5,0.7594,0.7203,0.5216,Rapeseed Mustard,997,0.3842,10,1.375,35.1,1
rabi,Balochistan,mondrian,7528,15392,10,3,5,0.7064,0.7579,0.6169,Rapeseed Mustard,997,0.284,10,1.918,13.6,1
rabi,Balochistan,region-robust,7528,15392,10,3,5,0.9021,0.859,0.7021,Rapeseed Mustard,997,0.5648,10,1.95,23.0,0
rabi,Balochistan,class-region-robust,7528,15392,10,3,5,0.8769,0.9451,0.8549,Wheat,6366,0.51,10,4.49,0.0,1
rabi,Khyber Pakhtunkhwa,marginal,2022,20898,11,4,5,0.9461,0.7655,0.5763,Rapeseed Mustard,59,0.7797,10,2.331,13.2,0
rabi,Khyber Pakhtunkhwa,mondrian,2022,20898,11,4,5,0.9431,0.8396,0.6905,Barseem,126,0.8051,10,2.765,2.6,0
rabi,Khyber Pakhtunkhwa,region-robust,2022,20898,11,4,5,0.9683,0.8369,0.678,Rapeseed Mustard,59,0.8305,10,2.808,3.8,0
rabi,Khyber Pakhtunkhwa,class-region-robust,2022,20898,11,4,5,0.9881,0.9729,0.9322,Rapeseed Mustard,59,0.9492,10,4.749,0.0,0
rabi,Punjab,marginal,8602,14318,19,5,5,0.9263,0.842,0.5419,Maize,681,0.5683,17,2.002,20.6,0
rabi,Punjab,mondrian,8602,14318,19,5,5,0.959,0.9731,0.9524,Wheat,6490,0.8753,17,3.481,4.9,0
rabi,Punjab,region-robust,8602,14318,19,5,5,0.9576,0.8949,0.6373,Maize,681,0.6735,17,2.496,7.0,0
rabi,Punjab,class-region-robust,8602,14318,19,5,5,0.9813,0.9947,0.9753,Wheat,6490,0.9325,17,4.734,0.0,0
rabi,Sindh,marginal,4768,18152,13,4,5,0.9562,0.8958,0.8357,Sugarcane,207,0.9054,13,2.4,9.9,0
rabi,Sindh,mondrian,4768,18152,13,4,5,0.9593,0.9295,0.8647,Sugarcane,207,0.8314,13,2.884,2.9,0
rabi,Sindh,region-robust,4768,18152,13,4,5,0.9727,0.9399,0.8792,Sugarcane,207,0.9257,13,2.867,3.1,0
rabi,Sindh,class-region-robust,4768,18152,13,4,5,0.9822,0.9864,0.971,Sugarcane,207,0.9514,13,4.569,0.0,0
