ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
1-102-18-1-14032023-1-1402,Bahawalpur,Punjab,Wheat,Maize,0.9997,0.0031,True
1-102-18-1-14032023-1-1406,Bahawalpur,Punjab,Wheat,Rapeseed Mustard,0.999,0.0089,True
1-102-18-1-15032023-1-1544,Bahawalpur,Punjab,Rapeseed Mustard,Wheat,0.9994,0.0056,True
1-102-18-1-15032023-1-1555,Bahawalpur,Punjab,Wheat,Barseem,0.9973,0.0217,True
1-102-18-1-16032023-1-1656,Bahawalpur,Punjab,Maize,Wheat,0.9979,0.0166,True
1-104-1-1-08032023-2-824,Chiniot,Punjab,Sugarcane,Wheat,0.9991,0.0084,True
1-104-1-1-09032023-2-947,Chiniot,Punjab,Sugarcane,Wheat,0.9987,0.012,True
1-104-1-1-10032023-1-1155,Chiniot,Punjab,Sugarcane,Maize,0.9989,0.0092,True
1-104-1-1-10032023-1-1162,Chiniot,Punjab,Rapeseed Mustard,Wheat,0.9983,0.0144,True
1-104-1-1-10032023-2-1157,Chiniot,Punjab,Barseem,Maize,0.9998,0.0026,True
1-104-17-1-10032023-2-745,Chiniot,Punjab,Sugarcane,Wheat,0.999,0.0095,True
1-106-1-1-16032023-2-2201,Faisalabad,Punjab,Barseem,Wheat,0.9988,0.0104,True
1-106-1-1-16032023-2-2289,Faisalabad,Punjab,Barseem,Wheat,0.9973,0.0203,True
1-106-1-1-16032023-2-2306,Faisalabad,Punjab,Wheat,Barseem,0.9976,0.0194,True
1-106-1-1-17032023-1-2614,Faisalabad,Punjab,Wheat,Barseem,0.9986,0.0126,True
1-106-1-1-17032023-2-2494,Faisalabad,Punjab,Barseem,Wheat,0.9991,0.0082,True
1-106-1-1-17032023-2-2524,Faisalabad,Punjab,Barseem,Wheat,0.9975,0.0206,True
1-106-1-1-17032023-2-2562,Faisalabad,Punjab,Barseem,Wheat,0.999,0.0092,True
1-106-1-1-17032023-2-2658,Faisalabad,Punjab,Sugarcane,Wheat,0.9982,0.0152,True
1-107-1-1-11032023-2-1273,Jhang,Punjab,Barseem,Sugarcane,0.9986,0.0112,True
1-107-1-1-12032023-2-1371,Jhang,Punjab,Wheat,Barseem,0.9981,0.0159,True
