ID,District,Province
1-101-16-1-11032023-1-1261,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1262,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1263,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1264,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1265,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1266,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1267,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1268,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1269,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1270,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1271,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1272,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1273,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1276,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1277,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1278,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1279,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1280,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1282,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1283,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1284,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1286,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1287,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1288,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1289,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1290,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1292,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1294,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1295,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1297,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1300,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1301,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1302,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1303,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1304,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1305,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1306,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1307,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1308,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1309,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1311,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1312,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1313,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1314,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1315,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1317,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1318,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1319,Bahawalnagar,Punjab
1-101-16-1-11032023-1-1320,Bahawalnagar,Punjab
