season,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
rabi,1,1,0.842,0.8601,0.3835,0.9285,0.9294,0.001
rabi,1,2,0.3585,0.9363,0.3569,0.9303,0.931,0.001
rabi,1,3,0.3225,0.9425,0.3111,0.9418,0.9419,0.001
rabi,1,4,0.3033,0.9452,0.2923,0.9432,0.9434,0.001
rabi,1,5,0.2836,0.949,0.3306,0.9373,0.9372,0.001
rabi,1,6,0.2696,0.9518,0.3191,0.9389,0.938,0.001
rabi,1,7,0.2562,0.9534,0.3243,0.9402,0.9387,0.001
rabi,1,8,0.2616,0.9518,0.3122,0.94,0.941,0.001
rabi,1,9,0.2437,0.9558,0.3156,0.9398,0.9403,0.001
rabi,1,10,0.2335,0.9577,0.2993,0.9427,0.9429,0.001
rabi,1,11,0.2218,0.96,0.304,0.9416,0.9417,0.001
rabi,1,12,0.2228,0.9598,0.2723,0.9498,0.949,0.001
rabi,1,13,0.2139,0.9607,0.2739,0.9484,0.9485,0.001
rabi,1,14,0.2093,0.9625,0.3023,0.943,0.9423,0.001
rabi,1,15,0.2027,0.9634,0.2852,0.9459,0.9463,0.001
rabi,1,16,0.1931,0.9652,0.345,0.9319,0.9341,0.001
rabi,1,17,0.1919,0.9656,0.2753,0.9488,0.9487,0.001
rabi,1,18,0.1822,0.9669,0.3086,0.9416,0.942,0.001
rabi,1,19,0.1818,0.9676,0.289,0.9455,0.9465,0.001
rabi,1,20,0.1792,0.9679,0.3213,0.9393,0.9399,0.0005
rabi,1,21,0.1671,0.9699,0.2926,0.9452,0.9452,0.0005
rabi,1,22,0.1485,0.9736,0.2801,0.9477,0.9481,0.0005
rabi,1,23,0.1388,0.9759,0.276,0.9493,0.9496,0.0005
rabi,1,24,0.1407,0.9755,0.286,0.9461,0.9464,0.0005
rabi,1,25,0.128,0.9778,0.2853,0.9475,0.9474,0.0005
rabi,1,26,0.1282,0.9771,0.2809,0.9495,0.9491,0.0005
rabi,1,27,0.1242,0.9781,0.2919,0.9464,0.9465,0.0005
rabi,1,28,0.1228,0.9783,0.2804,0.9495,0.9496,0.00025
rabi,1,29,0.1105,0.9807,0.2892,0.9464,0.9464,0.00025
rabi,1,30,0.1091,0.9809,0.2924,0.9461,0.9463,0.00025
rabi,1,31,0.1046,0.9817,0.2975,0.9436,0.9441,0.00025
rabi,1,32,0.1044,0.9816,0.2966,0.9461,0.946,0.00025
rabi,1,33,0.1001,0.9823,0.3033,0.9432,0.9432,0.00025
rabi,1,34,0.0994,0.9825,0.3027,0.9448,0.9445,0.00025
rabi,1,35,0.0954,0.9832,0.3185,0.9421,0.9415,0.00025
rabi,1,36,0.0946,0.9836,0.3034,0.9434,0.9437,0.000125
rabi,1,37,0.0909,0.9842,0.3052,0.9443,0.944,0.000125
rabi,1,38,0.0899,0.9842,0.2992,0.9455,0.9452,0.000125
rabi,1,39,0.087,0.9848,0.3051,0.9448,0.9452,0.000125
rabi,1,40,0.0859,0.985,0.3039,0.9443,0.9445,0.000125
rabi,1,41,0.0848,0.9853,0.3004,0.9452,0.9452,0.000125
rabi,1,42,0.0838,0.9852,0.3074,0.9436,0.9437,0.000125
rabi,1,43,0.0831,0.9853,0.3102,0.9434,0.9432,0.000125
rabi,2,1,0.8734,0.8574,0.5752,0.8933,0.8949,0.001
rabi,2,2,0.3675,0.9365,0.4172,0.9227,0.9194,0.001
rabi,2,3,0.3189,0.9431,0.3835,0.9306,0.9286,0.001
rabi,2,4,0.2904,0.9482,0.3912,0.9292,0.9268,0.001
rabi,2,5,0.2833,0.9503,0.5167,0.9095,0.9023,0.001
rabi,2,6,0.2644,0.9532,0.3484,0.9366,0.9361,0.001
rabi,2,7,0.2516,0.956,0.4146,0.9253,0.9222,0.001
rabi,2,8,0.2358,0.9581,0.425,0.9238,0.9187,0.001
rabi,2,9,0.2284,0.9597,0.4081,0.9255,0.9241,0.001
rabi,2,10,0.2177,0.9614,0.3799,0.933,0.9308,0.001
rabi,2,11,0.2142,0.9622,0.4018,0.9266,0.9234,0.001
rabi,2,12,0.2134,0.9625,0.394,0.9285,0.9265,0.001
rabi,2,13,0.2163,0.9615,0.4229,0.9257,0.9219,0.001
rabi,2,14,0.1932,0.9661,0.3678,0.9345,0.9325,0.0005
rabi,2,15,0.1722,0.9702,0.3486,0.9375,0.9375,0.0005
rabi,2,16,0.1623,0.9714,0.3819,0.9313,0.9295,0.0005
rabi,2,17,0.1566,0.9723,0.3814,0.9321,0.9299,0.0005
rabi,2,18,0.1539,0.9725,0.3493,0.9362,0.9354,0.0005
rabi,2,19,0.1487,0.9738,0.3837,0.9287,0.9283,0.0005
rabi,2,20,0.1453,0.9748,0.3776,0.9309,0.9294,0.0005
rabi,2,21,0.1405,0.9749,0.3888,0.9285,0.9274,0.0005
rabi,2,22,0.1479,0.9738,0.4066,0.9281,0.9255,0.00025
rabi,2,23,0.129,0.9772,0.3899,0.9309,0.9291,0.00025
rabi,2,24,0.122,0.9787,0.4092,0.9272,0.9251,0.00025
rabi,2,25,0.1184,0.9789,0.3781,0.9309,0.9301,0.00025
rabi,2,26,0.1132,0.9801,0.384,0.933,0.9321,0.00025
rabi,2,27,0.1139,0.9799,0.3856,0.93,0.9296,0.00025
rabi,2,28,0.1074,0.9812,0.3783,0.9298,0.929,0.00025
rabi,2,29,0.1083,0.9811,0.3965,0.927,0.9263,0.00025
rabi,2,30,0.1063,0.9813,0.3762,0.9326,0.9311,0.000125
rabi,2,31,0.1014,0.9823,0.3733,0.9332,0.9321,0.000125
rabi,2,32,0.0991,0.9826,0.3781,0.9338,0.9324,0.000125
rabi,2,33,0.0956,0.9832,0.3713,0.9347,0.9336,0.000125
rabi,2,34,0.0958,0.9834,0.3865,0.9315,0.93,0.000125
rabi,2,35,0.0939,0.9834,0.3833,0.9313,0.9301,0.000125
rabi,3,1,0.9004,0.8552,0.6383,0.8784,0.8888,0.001
rabi,3,2,0.3602,0.937,0.4768,0.9184,0.9166,0.001
rabi,3,3,0.3115,0.9433,0.4228,0.9291,0.9289,0.001
rabi,3,4,0.2852,0.9485,0.3992,0.935,0.9341,0.001
rabi,3,5,0.2736,0.9501,0.3892,0.9361,0.9355,0.001
rabi,3,6,0.2543,0.9545,0.3835,0.9366,0.9368,0.001
rabi,3,7,0.2414,0.9555,0.4147,0.9309,0.9309,0.001
rabi,3,8,0.2326,0.9576,0.4067,0.9298,0.9308,0.001
rabi,3,9,0.2313,0.9569,0.3852,0.9374,0.9374,0.001
rabi,3,10,0.2261,0.9589,0.4144,0.9294,0.9301,0.001
rabi,3,11,0.2107,0.9616,0.4497,0.9283,0.9255,0.001
rabi,3,12,0.1985,0.9647,0.4259,0.9285,0.9283,0.001
rabi,3,13,0.2021,0.9642,0.4649,0.9186,0.9199,0.001
rabi,3,14,0.2003,0.9634,0.4366,0.9298,0.928,0.0005
rabi,3,15,0.1803,0.9677,0.3983,0.9326,0.9335,0.0005
rabi,3,16,0.1655,0.9699,0.4066,0.9329,0.9322,0.0005
rabi,3,17,0.155,0.9724,0.4006,0.9329,0.9319,0.0005
rabi,3,18,0.1497,0.9734,0.4073,0.9342,0.933,0.0005
rabi,3,19,0.1451,0.9739,0.4089,0.9324,0.9318,0.0005
rabi,3,20,0.1522,0.9727,0.4348,0.9304,0.9284,0.0005
